old_path,filename,size,last_modified,script_type,target_subdir,package_json_registered,dependencies,description
audit-mapping-integrity.ts,audit-mapping-integrity.ts,49069,2026-07-13T13:56:32.063489,audit,audit,true,fs; path; url,!/usr/bin/env tsx
audit-mcp-tool-usage.ts,audit-mcp-tool-usage.ts,9113,2026-07-13T20:55:53.199755,audit,audit,true,fs; path; url,!/usr/bin/env tsx
audit-mcp.ts,audit-mcp.ts,15748,2026-07-14T08:28:18.315655,audit,audit,true,node:url,!/usr/bin/env tsx
audit-path-match.mjs,audit-path-match.mjs,4273,2026-07-12T18:55:37.831852,audit,audit,false,node:url,!/usr/bin/env node
audit-path-match.ts,audit-path-match.ts,7018,2026-07-14T08:28:18.315655,audit,audit,false,fs; path,!/usr/bin/env node
audit-registry.ts,audit-registry.ts,15511,2026-07-11T16:43:50.960072,audit,audit,true,node:url,!/usr/bin/env tsx
audit-reserved-stores.ts,audit-reserved-stores.ts,27433,2026-07-08T18:10:09.577999,audit,audit,true,node:url,!/usr/bin/env tsx
audit-spacing.ts,audit-spacing.ts,3590,2026-07-13T15:50:08.084929,audit,audit,true,path; glob; node:url; fs/promises,
audit-split-quality.ts,audit-split-quality.ts,37861,2026-07-13T20:55:49.162162,audit,audit,true,node:url,!/usr/bin/env tsx
audit-tests.ts,audit-tests.ts,4093,2026-07-09T10:58:24.706469,audit,audit,true,glob; fs/promises,
audit-token-consumption.ts,audit-token-consumption.ts,12817,2026-07-13T15:50:08.086846,audit,audit,true,node:url,!/usr/bin/env tsx
audit-trend-monitor.ts,audit-trend-monitor.ts,13433,2026-07-12T16:13:33.957474,audit,audit,true,fs; path; child_process; url,!/usr/bin/env tsx
audit-typography.ts,audit-typography.ts,4809,2026-07-13T14:48:01.248505,audit,audit,true,path; glob; url; fs/promises,
audit-version-drift.ts,audit-version-drift.ts,3241,2026-07-13T09:03:55.547056,audit,audit,true,node:path; node:fs,!/usr/bin/env tsx
audit-visual.ts,audit-visual.ts,5747,2026-07-12T14:39:33.582083,audit,audit,true,node:path; node:child_process; node:url; node:fs,!/usr/bin/env node
audit-widget-registry.ts,audit-widget-registry.ts,14680,2026-07-13T20:55:51.229154,audit,audit,true,node:url,
auto-fix-jsdoc.ts,auto-fix-jsdoc.ts,3335,2026-07-10T22:50:38.727284,fix,fix,true,,
batch-add-jsdoc.ts,batch-add-jsdoc.ts,9487,2026-07-13T09:22:26.264762,other,other,false,,
batch-fix-tsc.ts,batch-fix-tsc.ts,7969,2026-07-13T09:22:26.264762,fix,fix,false,,
batch-test-runner.sh,batch-test-runner.sh,4931,2026-07-07T21:53:57.161040,test,test-tool,true,,!/bin/bash
browser_verify_agent_b.py,browser_verify_agent_b.py,7174,2026-07-05T22:56:45.314274,verify,verify,false,,
build-ai-memory-index.ts,build-ai-memory-index.ts,4351,2026-07-10T20:36:11.499452,build,build,true,node:url,
build-health-report.ts,build-health-report.ts,5391,2026-07-12T15:46:53.738920,build,build,true,node:child_process; node:url,
changelog-query.ts,changelog-query.ts,34339,2026-07-08T18:10:09.581238,other,other,true,node:path; node:fs,!/usr/bin/env node
check-docs.js,check-docs.js,3694,2026-07-14T08:28:18.315655,doc,docs-tool,true,url,scripts/check-docs.js
check-docs.ts,check-docs.ts,5113,2026-07-13T09:17:13.619200,doc,docs-tool,true,node:path; node:fs,!/usr/bin/env tsx
check-types.ps1,check-types.ps1,617,2026-07-04T11:56:45.554158,monitor,monitor,true,,Type-check script: only checks non-test file TypeScript errors
check-types.sh,check-types.sh,714,2026-07-04T11:55:02.943676,monitor,monitor,true,,!/bin/bash
cleanup-reports.ts,cleanup-reports.ts,2489,2026-07-13T09:22:26.264762,other,other,true,node:path; node:fs,!/usr/bin/env tsx
codeQualityAudit.cjs,codeQualityAudit.cjs,21173,2026-06-30T00:01:23.570101,quality,quality,true,fs; path,
compare-visual-baselines.sh,compare-visual-baselines.sh,3341,2026-07-13T00:27:50.019014,other,other,false,,!/usr/bin/env bash
complexity-scan.ts,complexity-scan.ts,14810,2026-07-10T20:01:33.846851,quality,quality,true,url,!/usr/bin/env node
create-ah-directory-structure.ts,create-ah-directory-structure.ts,7477,2026-07-14T00:15:34.904920,other,other,false,fs; path; url,
